Review Text,stemming,tokens,weights,total_score,Sentimen
"Tolong gamenya yg misi masuk masuk ke TV itu benar benar gak berguna, di hapus aja misi yg masuk bamboo masuk TV, game bagus seperti ini jadi game nyebelin dan jelek....",tolong misi tv tidak guna hapus misi bamboo tv bagus sebal jelek,"['tolong', 'misi', 'tv', 'tidak', 'guna', 'hapus', 'misi', 'bamboo', 'tv', 'bagus', 'sebal', 'jelek']","[-2, 0, 0, -5, 1, -3, 0, 0, 0, 5, 0, -5]",-9,Negative
gak tahu mau main apa lagi kesepian banget soalnya,tidak sepi,"['tidak', 'sepi']","[-5, -3]",-8,Negative
bagus banget gamenya seru banget,bagus seru,"['bagus', 'seru']","[5, 5]",10,Positive
lost 50/50,lost,['lost'],[-3],-3,Negative
"jangan maen ni game kalo g mau stres, di sini paytowin banget apalagi buat player baru kurang banget ni game char standar g ada yg mendukung char gratis nya juga kurang mendukung, kalo mau build character juga susah, walau ni game banyak bansos nya tapi kek g ada guna nya, gw selalu kena high pity dari awal maen dan g jarang gw kalah rate off walau udh pity 90 80 sampe gw bingung harus nguli di mana lagi. Ya buat developer nya emg harus benerin sistem gacha nya",jangan tidak stres paytowin player kurang char standar tidak dukung char gratis kurang dukung build character susah bansos tidak high pity tidak jarang kalah rate off pity bingung nguli developer benerin sistem gacha,"['jangan', 'tidak', 'stres', 'paytowin', 'player', 'kurang', 'char', 'standar', 'tidak', 'dukung', 'char', 'gratis', 'kurang', 'dukung', 'build', 'character', 'susah', 'bansos', 'tidak', 'high', 'pity', 'tidak', 'jarang', 'kalah', 'rate', 'off', 'pity', 'bingung', 'nguli', 'developer', 'benerin', 'sistem', 'gacha']","[-3, -5, -4, 0, 0, -4, 0, -2, -5, 4, 0, 5, -4, 4, 0, 0, -3, -1, -5, 0, 0, -5, 0, -4, -2, 0, 0, 0, 0, 0, 0, -4, -3]",-41,Negative
bug ce terus hoyo hoyo,bug ce hoyo hoyo,"['bug', 'ce', 'hoyo', 'hoyo']","[-5, 0, 0, 0]",-5,Negative
"jujur saya kecewa di banner vivian padahal udh 1 kali kalah rate off malah di kasih lagi, jujur kecewa banget,padahal gwe pengen banget punya vivian☝😞",jujur kecewa banner vivian kalah rate off kasih jujur kecewa bangetpadahal gwe pengin vivian,"['jujur', 'kecewa', 'banner', 'vivian', 'kalah', 'rate', 'off', 'kasih', 'jujur', 'kecewa', 'bangetpadahal', 'gwe', 'pengin', 'vivian']","[1, 0, 0, 0, -4, -2, 0, 1, 1, 0, 0, 0, 0, 0]",-3,Negative
percuma build karakter kalau di story di paksa mulu pake karakter pinjaman,build karakter story paksa mulu pakai karakter pinjam,"['build', 'karakter', 'story', 'paksa', 'mulu', 'pakai', 'karakter', 'pinjam']","[0, 0, 5, -4, -1, 0, 0, 0]",0,Positive
game ny gg cug,tidak cug,"['tidak', 'cug']","[-5, 0]",-5,Negative
"Kacau Begini ZZZ Sekarang Sering Bet Framedrop Pas Battle Dulu Mah Aman Aman Aja Maen Game Hoyo Yg Laen Kek Genshin,HSR,HI3 Aman Loh Padahal🫨🫨🫨",kacau framedrop pas battle mah aman aman hoyo genshinhsrhi aman loh,"['kacau', 'framedrop', 'pas', 'battle', 'mah', 'aman', 'aman', 'hoyo', 'genshinhsrhi', 'aman', 'loh']","[0, 0, 3, 0, 0, 2, 2, 0, 0, 2, 0]",9,Positive
"aku pemain baru, terlalu di susahkan,gacha limit buat akun baru pertama kali rate off(pelit),sub quest menumpuk,puzzle Tv terlalu pusing dan panjang lebar,membuat saya bingung. cara dapat bahan di bataskan,setidaknya kasih 2x hasil,hell nah pelit.",main susahkangacha limit akun rate offpelitsub quest menumpukpuzzle tv pusing lebarmembuat bingung bahan bataskansetidaknya kasih hasilhell pelit,"['main', 'susahkangacha', 'limit', 'akun', 'rate', 'offpelitsub', 'quest', 'menumpukpuzzle', 'tv', 'pusing', 'lebarmembuat', 'bingung', 'bahan', 'bataskansetidaknya', 'kasih', 'hasilhell', 'pelit']","[-2, 0, 0, 0, -2, 0, 0, 0, 0, -4, 0, 0, -3, 0, 1, 0, -5]",-15,Negative
story nya GG,story tidak,"['story', 'tidak']","[5, -5]",0,Positive
mantap man. Gacha gak rate off🗿🗿,mantap man gacha tidak rate off,"['mantap', 'man', 'gacha', 'tidak', 'rate', 'off']","[5, -1, -3, -5, -2, 0]",-6,Negative
Satu satunya game yg gw mainin karena desain dan gameplay dunianya sangat bagus dan storynya juga ringan tapi jika diulik lumayan seru. Bintang 5 buat ini game,satu mainin desain gameplay dunia bagus storynya ringan ulik lumayan seru bintang,"['satu', 'mainin', 'desain', 'gameplay', 'dunia', 'bagus', 'storynya', 'ringan', 'ulik', 'lumayan', 'seru', 'bintang']","[-1, -2, 4, 2, -2, 5, 0, -1, 0, -2, 5, 0]",8,Positive
"gamenya bagus, favorit dah pokoknya 🔥 tapi semoga bisa lebih di optimalisasi lagi, agak ngelag di device ku 😅🙏",bagus favorit deh pokok moga optimalisasi ngelag device ku,"['bagus', 'favorit', 'deh', 'pokok', 'moga', 'optimalisasi', 'ngelag', 'device', 'ku']","[5, 0, 0, -3, 1, -2, -5, 0, 0]",-4,Negative
nice physics,nice physics,"['nice', 'physics']","[4, 0]",4,Positive
"setelah mendownload, dan masuk kedalam game, saya mencoba untuk pick server asia dan server lain² tapi tidak bisa, begitu juga dengan tanda silang dipojok Tidak bisa di click, karna ada sfx tv di background click. Saya mencoba uninstall dan install lagi, tetapi tidak bisa. Aku tidak tau kenapa tidak bisa, bisa memperbaiki atau apa gitu? Ini menggangu aku untuk picking server.",mendownload dalam coba pick server asia server tidak tanda silang pojok tidak click sfx tv background click coba uninstall install tidak tidak tau tidak baik menggangu picking server,"['mendownload', 'dalam', 'coba', 'pick', 'server', 'asia', 'server', 'tidak', 'tanda', 'silang', 'pojok', 'tidak', 'click', 'sfx', 'tv', 'background', 'click', 'coba', 'uninstall', 'install', 'tidak', 'tidak', 'tau', 'tidak', 'baik', 'menggangu', 'picking', 'server']","[0, 3, -1, 0, 0, 0, 0, -5, -2, -4, -3, -5, 0, 0, 0, 0, 0, -1, 0, 0, -5, -5, -4, -5, 5, 0, 0, 0]",-32,Negative
mantapppp cokk,mantap cokk,"['mantap', 'cokk']","[5, 0]",5,Positive
"bagus, cuma kurang stabil, setiap masuk game selalu internet yang jadi masalah, tapi internet saya bagus, dan ketika saat chat dengan karakter, chat akan keluar sangat lama, semoga bisa diperbaiki",bagus kurang stabil internet internet bagus chat karakter chat moga baik,"['bagus', 'kurang', 'stabil', 'internet', 'internet', 'bagus', 'chat', 'karakter', 'chat', 'moga', 'baik']","[5, -4, 3, 0, 0, 5, 3, 0, 3, 1, 5]",21,Positive
Tetep dengerin para player dan aku bakal trus ikutin nih game nyampe aku mati,dengar player ikut mati,"['dengar', 'player', 'ikut', 'mati']","[2, 0, -3, -5]",-6,Negative
"setelah update sering bug di loading screen... hadeh padahal dulu"" gk pernah",update bug loading screen hadeh tidak,"['update', 'bug', 'loading', 'screen', 'hadeh', 'tidak']","[-5, -5, -3, 0, -4, -5]",-22,Negative
"Hallo developer. ada bug lagi dengan tombol kembali/back berkali² gak bisa kembali lalu baru bisa kembali, kadang2 ada kek gitu. tolong perbaiki ya biar bisa klik sekali aja supaya gak repot, terima kasih🙏😇",developer bug tombol kembaliback kali tidak kadang tolong baik biar klik tidak repot terima kasih,"['developer', 'bug', 'tombol', 'kembaliback', 'kali', 'tidak', 'kadang', 'tolong', 'baik', 'biar', 'klik', 'tidak', 'repot', 'terima', 'kasih']","[0, -5, 0, 0, 0, -5, 3, -2, 5, -3, 0, -5, -5, 2, 1]",-14,Negative
game kikir lebih kikir dari genshin impact,kikir kikir genshin impact,"['kikir', 'kikir', 'genshin', 'impact']","[4, 4, 0, 0]",8,Positive
cocok lah game nya,cocok,['cocok'],[-3],-3,Negative
"min saya pemain baru gak bisa masuk server ,"" penghubung ke server melebihin batas waktu "" gitu terus dari tadi sudah satu jam saya coba login gak bisa mohon bantuanya",min main tidak server hubung server lebih batas waktu jam coba login tidak bantuanya,"['min', 'main', 'tidak', 'server', 'hubung', 'server', 'lebih', 'batas', 'waktu', 'jam', 'coba', 'login', 'tidak', 'bantuanya']","[0, -2, -5, 0, -3, 0, 1, -3, 0, 0, -1, 0, -5, 0]",-18,Negative
gg gaming Ada hoshimi miyabi,tidak gaming hoshimi miyabi,"['tidak', 'gaming', 'hoshimi', 'miyabi']","[-5, 0, 0, 0]",-5,Negative
"to many request, akun ku kena kyaka gini semua hoyo tlong lah padahal buat sendiri pun bisa kena, mmk",many request akun ku kyaka hoyo tlong mmk,"['many', 'request', 'akun', 'ku', 'kyaka', 'hoyo', 'tlong', 'mmk']","[0, 0, 0, 0, 0, 0, 0, 0]",0,Positive
jelek,jelek,['jelek'],[-5],-5,Negative
"This game is really good, it's good but I just don't like the sibling theme",this is really good its good but just dont like the sibling theme,"['this', 'is', 'really', 'good', 'its', 'good', 'but', 'just', 'dont', 'like', 'the', 'sibling', 'theme']","[0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0]",10,Positive
"Game console berkedok android, plus support gamepad kalo main di hp",console kedok android plus support gamepad hp,"['console', 'kedok', 'android', 'plus', 'support', 'gamepad', 'hp']","[0, 0, 0, 2, 4, 0, 0]",6,Positive
ILOVETHISGAME,ilovethisgame,['ilovethisgame'],[0],0,Positive
sudah di perbaiki mantap,baik mantap,"['baik', 'mantap']","[5, 5]",10,Positive
i am happy when I playi,happy when playi,"['happy', 'when', 'playi']","[5, 0, 0]",5,Positive
"dari segi gameplay, battle sangat unik dan sangat fresh, untuk rewards nya juga berlimpah semoga kedepannya menjadi lebih bagus dan baik",segi gameplay battle unik fresh rewards limpah moga depan bagus,"['segi', 'gameplay', 'battle', 'unik', 'fresh', 'rewards', 'limpah', 'moga', 'depan', 'bagus']","[-4, 2, 0, 0, -2, 0, 1, 1, 0, 5]",3,Positive
"Gameplay seru, mekanik battlenya menantang, visual dan storynya juga bagus banget, terutama bagian cut scene. Kurangnya cuma terlalu sedikit dapat material gacha karakter standar dibandingkan karakter limited.",gameplay seru mekanik battlenya tantang visual storynya bagus cut scene kurang material gacha karakter standar banding karakter limited,"['gameplay', 'seru', 'mekanik', 'battlenya', 'tantang', 'visual', 'storynya', 'bagus', 'cut', 'scene', 'kurang', 'material', 'gacha', 'karakter', 'standar', 'banding', 'karakter', 'limited']","[2, 5, 0, 0, -4, 4, 0, 5, 0, 0, -4, 0, -3, 0, -2, -3, 0, 0]",0,Positive
me when lose 50/50: L verse😡GRRR,me when lose versegr,"['me', 'when', 'lose', 'versegr']","[0, 0, 0, 0]",0,Positive
"Overall bagus""aja meskipun gameplay gak terlalu suka cuman pas baku hantam yg mantep story best lah grafik no komen mantep cuman size dan ya reward yg pelit seperti biasa 🗿🗿",overall bagusaja gameplay tidak suka cuman pas baku hantam mantap story best grafik no komen mantap cuman size reward pelit,"['overall', 'bagusaja', 'gameplay', 'tidak', 'suka', 'cuman', 'pas', 'baku', 'hantam', 'mantap', 'story', 'best', 'grafik', 'no', 'komen', 'mantap', 'cuman', 'size', 'reward', 'pelit']","[0, 0, 2, -5, 3, 0, 3, -3, -5, 5, 5, 5, 1, 0, 0, 5, 0, -3, 0, -5]",8,Positive
Makasih Min Hoyo vivian nya😁,terima kasih min hoyo vivian,"['terima', 'kasih', 'min', 'hoyo', 'vivian']","[2, 1, 0, 0, 0]",3,Positive
game nya sangat seru dan menarik apalagi hp aku ram nya 12/512 GB banyak banget grafik nya juga enak rata kanan,seru tarik hp ram gb grafik rata kanan,"['seru', 'tarik', 'hp', 'ram', 'gb', 'grafik', 'rata', 'kanan']","[5, 2, 0, 0, -3, 1, -4, 0]",1,Positive
My first gacha game,my first gacha,"['my', 'first', 'gacha']","[0, 0, -3]",-3,Negative
"untuk developer, saya sangat menyukai game game ini karena gameplay, grafik dan alur cerita yang menarik, saya telah bermain dari awal season hingga dan sangat terhibur dengan game ini, tolong nanti update untuk kedepannya berikan fitur kelola ruang untuk memori dong biar engga terlalu memakan banyak penyimpanan karena patch update terbaru sangat besar, agar nantinya bisa terus bermain game ini kedepannya 😔🙏🏻 terimakasih",developer suka gameplay grafik alur cerita tarik main season hibur tolong update depan fitur kelola ruang memori biar tidak makan simpan patch update baru main depan terimakasih,"['developer', 'suka', 'gameplay', 'grafik', 'alur', 'cerita', 'tarik', 'main', 'season', 'hibur', 'tolong', 'update', 'depan', 'fitur', 'kelola', 'ruang', 'memori', 'biar', 'tidak', 'makan', 'simpan', 'patch', 'update', 'baru', 'main', 'depan', 'terimakasih']","[0, 3, 2, 1, -4, -4, 2, -2, 0, 0, -2, -5, 0, 0, 0, -3, -3, -3, -5, -1, -3, 0, -5, 0, -2, 0, 5]",-29,Negative
"habis update malah sering freze/patah², padahal device saya chipset Snapdragon gen 2",habis update frezepatah device chipset snapdragon gen,"['habis', 'update', 'frezepatah', 'device', 'chipset', 'snapdragon', 'gen']","[-3, -5, 0, 0, 0, 0, 0]",-8,Negative
mantap,mantap,['mantap'],[5],5,Positive
"sangat seru dan mudah di mainkan,cocok juga buat f2p walau terkadang rate off,tolong banyakan lagi event menarik dengan hadiah yang memuaskan,terimakasih telah mengembangkan game ini",seru mudah mainkancocok fp terkadang rate offtolong banyak event tarik hadiah memuaskanterimakasih kembang,"['seru', 'mudah', 'mainkancocok', 'fp', 'terkadang', 'rate', 'offtolong', 'banyak', 'event', 'tarik', 'hadiah', 'memuaskanterimakasih', 'kembang']","[5, -1, 0, 0, 3, -2, 0, -3, 0, 2, -3, 0, 3]",4,Positive
"ada masalah bug saat login, walaupun id dan password benar tapi stuck di halaman login.",bug login id password stuck halaman login,"['bug', 'login', 'id', 'password', 'stuck', 'halaman', 'login']","[-5, 0, 0, 0, -4, 0, 0]",-9,Negative
"Game baik,misalnya ada powercreep semoga gak gila kayak yang sebelah",baikmisalnya powercreep moga tidak gila belah,"['baikmisalnya', 'powercreep', 'moga', 'tidak', 'gila', 'belah']","[0, 0, 1, -5, -5, -5]",-14,Negative
"game bagus banget🤩. story bagus, cutscene bagus, char bagus, cuman gachanya yg ampas🤣",bagus story bagus cutscene bagus char bagus cuman gachanya ampas,"['bagus', 'story', 'bagus', 'cutscene', 'bagus', 'char', 'bagus', 'cuman', 'gachanya', 'ampas']","[5, 5, 5, 0, 5, 0, 5, 0, 0, -3]",22,Positive
"saya suka game ini,tapi berat di hape saya",suka initapi berat hape,"['suka', 'initapi', 'berat', 'hape']","[3, 0, -4, 0]",-1,Negative
peak,peak,['peak'],[0],0,Positive
optimalisasi nya makin ampass untuk os Android,optimalisasi ampass os android,"['optimalisasi', 'ampass', 'os', 'android']","[-2, 0, 0, 0]",-2,Negative
game bok3p,bokp,['bokp'],[0],0,Positive
Let's start the Journey,lets start the journey,"['lets', 'start', 'the', 'journey']","[0, 0, 0, 0]",0,Positive
jelek,jelek,['jelek'],[-5],-5,Negative
Di ROG 6 kenapa game ini bug fixel??? fixel di dalam game terlihat error? pada saat battle pun juga error?? apakah ini semacam bug??? tolong di perbaiki,rog bug fixel fixel error battle error bug tolong baik,"['rog', 'bug', 'fixel', 'fixel', 'error', 'battle', 'error', 'bug', 'tolong', 'baik']","[0, -5, 0, 0, -5, 0, -5, -5, -2, 5]",-17,Negative
saya kasi bintang 3 dulu soalnya ini saya kg bisa download di hp Oppo a77s jadi nya saya download lewat link punya orang di YouTube tolong di perbaiki biar saya gampang kalau ada update dari game ini terimakasih,kasih bintang kg download hp oppo as download link youtube tolong baik biar gampang update terimakasih,"['kasih', 'bintang', 'kg', 'download', 'hp', 'oppo', 'as', 'download', 'link', 'youtube', 'tolong', 'baik', 'biar', 'gampang', 'update', 'terimakasih']","[1, 0, 0, -3, 0, 0, 0, -3, 0, 0, -2, 5, -3, -3, -5, 5]",-8,Negative
great,great,['great'],[3],3,Positive
"ini game sangat baik ama player nya,terus event nya banyak dan ngertiin player nya, terimakasih hoyo semoga sukses selalu 🥰🥰",player nyaterus event erti player terimakasih hoyo moga sukses,"['player', 'nyaterus', 'event', 'erti', 'player', 'terimakasih', 'hoyo', 'moga', 'sukses']","[0, 0, 0, -2, 0, 5, 0, 1, 3]",7,Positive
"Gw terpaksa kasi bintang jelek, yg bener aj udah 3 versi gw gacha udah hard pity dikasi Rate Off pulak. nggak fair bener.",paksa kasih bintang jelek versi gacha hard pity kasi rate off tidak fair,"['paksa', 'kasih', 'bintang', 'jelek', 'versi', 'gacha', 'hard', 'pity', 'kasi', 'rate', 'off', 'tidak', 'fair']","[-4, 1, 0, -5, 0, -3, -5, 0, -3, -2, 0, -5, 3]",-23,Negative
"gampang terputus dari server, jadi ga nyaman main nya",gampang putus server tidak nyaman,"['gampang', 'putus', 'server', 'tidak', 'nyaman']","[-3, -5, 0, -5, 4]",-9,Negative
mantap,mantap,['mantap'],[5],5,Positive
Well Well Well,well well well,"['well', 'well', 'well']","[0, 0, 0]",0,Positive
tolong di perbaiki setelah update malah jadi patah patah,tolong baik update patah patah,"['tolong', 'baik', 'update', 'patah', 'patah']","[-2, 5, -5, -4, -4]",-10,Negative
"the best sih ini, satu satu nya game yang ga pelit co, gampang nyari buat gacha nya. gak kaya genshin yg mati matian nyari primogem cuma buat sekali gacha",the best tidak pelit cowok gampang cari gacha tidak genshin mati mati cari primogem gacha,"['the', 'best', 'tidak', 'pelit', 'cowok', 'gampang', 'cari', 'gacha', 'tidak', 'genshin', 'mati', 'mati', 'cari', 'primogem', 'gacha']","[0, 5, -5, -5, 0, -3, -3, -3, -5, 0, -5, -5, -3, 0, -3]",-35,Negative
mantapp,mantap,['mantap'],[5],5,Positive
walah cik gacor gamenya,walah cik gacor,"['walah', 'cik', 'gacor']","[0, 0, 0]",0,Positive
The Combat System Is Michelin ⭐,the combat system is michelin,"['the', 'combat', 'system', 'is', 'michelin']","[0, 0, 0, 0, 0]",0,Positive
"perolehan materinya dibuat rng, tolong jumlahnya dibuat tetap saja, kalau jumlahnya tetap saya jadi bisa ngebuild banyak karakter sekaligus, tapi overall gameplay menarik, dan desain karakternya juga sangat bagus",oleh materi rng tolong ngebuild karakter overall gameplay tarik desain karakter bagus,"['oleh', 'materi', 'rng', 'tolong', 'ngebuild', 'karakter', 'overall', 'gameplay', 'tarik', 'desain', 'karakter', 'bagus']","[0, 0, 0, -2, 0, 0, 0, 2, 2, 4, 0, 5]",11,Positive
sediakan fitur replay pleaseee👉 👈🥺,sedia fitur replay please,"['sedia', 'fitur', 'replay', 'please']","[2, 0, 0, -3]",-1,Negative
"lama² merasa membosankan, jujur... gacha juga selalu ampas.",bosan jujur gacha ampas,"['bosan', 'jujur', 'gacha', 'ampas']","[0, 1, -3, -3]",-5,Negative
tujuan saya bermain adalah untuk mengumpulkan semua char cewe,tuju main kumpul char cewek,"['tuju', 'main', 'kumpul', 'char', 'cewek']","[-4, -2, 0, 0, 0]",-6,Negative
Gooners game,gooners,['gooners'],[0],0,Positive
"rumah yg nyaman, teman yg baik, apel yg segar, itu adalah zenless zone zero 🍃",rumah nyaman teman apel segar zenless zone zero,"['rumah', 'nyaman', 'teman', 'apel', 'segar', 'zenless', 'zone', 'zero']","[3, 4, 0, 0, 4, 0, 0, -3]",8,Positive
setelah update game nya malah aneh sering banget freeze 1 detik / fps drop 1 detik padahal sudah settingan grafis paling rendah tetap sama seharus nya device saya lumayan kompatibel dengan game ini (dimensity 7025 ultra ram 8+8) dan kasus ini saya lihat tidak sedikit tolong di perbaiki,update aneh freeze detik fps drop detik settingan grafis rendah harus device lumayan kompatibel dimensity ultra ram tidak tolong baik,"['update', 'aneh', 'freeze', 'detik', 'fps', 'drop', 'detik', 'settingan', 'grafis', 'rendah', 'harus', 'device', 'lumayan', 'kompatibel', 'dimensity', 'ultra', 'ram', 'tidak', 'tolong', 'baik']","[-5, -4, -5, 0, -4, -3, 0, 0, 1, -5, -5, 0, -2, 0, 0, 0, 0, -5, -2, 5]",-34,Negative
gamenya keren Combat nya seru,keren combat seru,"['keren', 'combat', 'seru']","[5, 0, 5]",10,Positive
"game nya keren bagus , style nya gue banget tapi sayangnya saya telat main jadi mager buat main....",keren bagus style sayang telat mager,"['keren', 'bagus', 'style', 'sayang', 'telat', 'mager']","[5, 5, 0, -3, -5, -4]",-2,Negative
sangat menguras waktu ya😁,uras waktu,"['uras', 'waktu']","[-3, 0]",-3,Negative
bagus. tp MC cowok nya tolong dibikin keren dong. jgn standar melulu,bagus mc cowok tolong bikin keren jangan standar melulu,"['bagus', 'mc', 'cowok', 'tolong', 'bikin', 'keren', 'jangan', 'standar', 'melulu']","[5, 0, 0, -2, 0, 5, -3, -2, -3]",0,Positive
"(Infinix note 40) Lancar setting low pada update 1.7, dan rendah stuttering. game arcde seru sih game ZZZ semoga kedepannya semakin banyak game Arcadenya, Story seru untuk di ikuti, content end game juga mayan banyak. cuma untuk gacha selalu high pity sih🥲, buat yang belum main cobain aja recomend👍",infinix note lancar setting low update rendah stuttering arcde seru moga depan arcadenya story seru ikut content end lumayan gacha high pity belum coba recomend,"['infinix', 'note', 'lancar', 'setting', 'low', 'update', 'rendah', 'stuttering', 'arcde', 'seru', 'moga', 'depan', 'arcadenya', 'story', 'seru', 'ikut', 'content', 'end', 'lumayan', 'gacha', 'high', 'pity', 'belum', 'coba', 'recomend']","[0, 0, -2, 0, 0, -5, -5, 0, 0, 5, 1, 0, 0, 5, 5, -3, 0, 0, -2, -3, 0, 0, -2, -1, 0]",-7,Negative
saya suka,suka,['suka'],[3],3,Positive
salah satu game terbaik dari mihoyo,salah baik mihoyo,"['salah', 'baik', 'mihoyo']","[-4, 5, 0]",1,Positive
"sayang di perangkat saya tidak kompatibel, padahal pengen banget main gamenya, semoga cepet kebeli HP baru.",sayang perangkat tidak kompatibel pengin moga cepat kebel hp,"['sayang', 'perangkat', 'tidak', 'kompatibel', 'pengin', 'moga', 'cepat', 'kebel', 'hp']","[-3, 0, -5, 0, 0, 1, -3, 0, 0]",-10,Negative
seru,seru,['seru'],[5],5,Positive
yesshh,yesshh,['yesshh'],[0],0,Positive
naise,naise,['naise'],[0],0,Positive
suka banget plisss.karakternya juga banyak yang gyat😋😋,suka pliskarakternya gyat,"['suka', 'pliskarakternya', 'gyat']","[3, 0, 0]",3,Positive
Miyabi my wife 🥰🥰,miyabi my wife,"['miyabi', 'my', 'wife']","[0, 0, 0]",0,Positive
aku nak Vivian 😋,nak vivian,"['nak', 'vivian']","[0, 0]",0,Positive
game play paling seru di antara game hoyoverse,play seru hoyoverse,"['play', 'seru', 'hoyoverse']","[0, 5, 0]",5,Positive
i lovit,lovit,['lovit'],[0],0,Positive
update kali ini cukup menarik dari alur cerita sampai combat,update tarik alur cerita combat,"['update', 'tarik', 'alur', 'cerita', 'combat']","[-5, 2, -4, -4, 0]",-11,Negative
"game e seru, character dan story nya top",seru character story top,"['seru', 'character', 'story', 'top']","[5, 0, 5, 5]",15,Positive
game terbaik dengan developer yg mendengarkan player terutama f2p 🔥🔥🔥,baik developer dengar player fp,"['baik', 'developer', 'dengar', 'player', 'fp']","[5, 0, 2, 0, 0]",7,Positive
damn,damn,['damn'],[0],0,Positive
"gk kerasa bentar lagi anniv, biasa main di pc lbih lebar, di mobile buat daily ajh",tidak rasa bentar anniv pc lebar mobile daily,"['tidak', 'rasa', 'bentar', 'anniv', 'pc', 'lebar', 'mobile', 'daily']","[-5, -2, 0, 0, 0, -3, 0, 0]",-10,Negative
"adain fitur hapus data misi terdahulu dong, kayak genshin ama hsr",ada fitur hapus data misi genshin hsr,"['ada', 'fitur', 'hapus', 'data', 'misi', 'genshin', 'hsr']","[-3, 0, -3, -3, 0, 0, 0]",-9,Negative
tolong jangan terlalu ketat untuk gacha w-engine .. berilah kemudahan untuk f2p🤤,tolong jangan ketat gacha wengine ilah mudah fp,"['tolong', 'jangan', 'ketat', 'gacha', 'wengine', 'ilah', 'mudah', 'fp']","[-2, -3, -3, -3, 0, 0, -1, 0]",-12,Negative
mantap perbanyak event nya 🔥,mantap banyak event,"['mantap', 'banyak', 'event']","[5, -3, 0]",2,Positive
penjelasan singkat game ini 1).mudah dipahami dalam segala gameplay 2).sistem mekanik rotasi cukup simpel 3).daily dan events cukup fun dan mudah 4).konten end fun dan bermacam-macam mekanik unik. sekian dam terimakasih,jelas singkat mudah paham gameplay sistem mekanik rotasi simpel daily events fun mudah konten end fun bermacammacam mekanik unik sekian dam terimakasih,"['jelas', 'singkat', 'mudah', 'paham', 'gameplay', 'sistem', 'mekanik', 'rotasi', 'simpel', 'daily', 'events', 'fun', 'mudah', 'konten', 'end', 'fun', 'bermacammacam', 'mekanik', 'unik', 'sekian', 'dam', 'terimakasih']","[-3, -3, -1, 0, 2, -4, 0, 0, 3, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -3, 5]",-5,Negative
gamenya seru 👍,seru,['seru'],[5],5,Positive
butut,butut,['butut'],[-5],-5,Negative
fun,fun,['fun'],[0],0,Positive
absolut cinema,absolut cema,"['absolut', 'cema']","[0, -5]",-5,Negative
lumayan,lumayan,['lumayan'],[-2],-2,Negative
nice game,nice,['nice'],[4],4,Positive
story getting boring...,story getting boring,"['story', 'getting', 'boring']","[5, 0, -3]",2,Positive
"gamenya bagus, mekaniknya ok, karakternya Alamak, storynya bagus. tapi agak ngeframe dikit",bagus mekanik ok karakter alamak storynya bagus ngeframe dikit,"['bagus', 'mekanik', 'ok', 'karakter', 'alamak', 'storynya', 'bagus', 'ngeframe', 'dikit']","[5, 0, 4, 0, 0, 0, 5, 0, -4]",10,Positive
no TMR no hoyoverse,no tmr no hoyoverse,"['no', 'tmr', 'no', 'hoyoverse']","[0, 0, 0, 0]",0,Positive
terbaik lah,baik,['baik'],[5],5,Positive
game gratis dipenuhi effort development yang baik...keep it up ZZZ,gratis penuh effort development baikkeep up,"['gratis', 'penuh', 'effort', 'development', 'baikkeep', 'up']","[5, 0, 0, 0, 0, 0]",5,Positive
vergil daughter is too strong dawg,vergil daughter is too strong dawg,"['vergil', 'daughter', 'is', 'too', 'strong', 'dawg']","[0, 0, 0, 0, 0, 0]",0,Positive
"Semuanya bagus, dari segi alur cerita sampai desain karakter bagus banget cuma mohon untuk system' pencarian Polychrome lebih dibanyakin lagi buat player Free to play seperti saya untuk mendapatkan 1karakter beserta W-engine nya sedikit susah apalagi disini ada system' rate off dan rate on, jadi mohon kedepannya bisa untuk dipermudah atau di perbanyak ladang/farming Polychrome nya. Kembali lagi semuanya dari game ini sangat bagus pertahankan!!!",bagus segi alur cerita desain karakter bagus system cari polychrome dibanyakin player free play karakter serta wengine susah system rate off rate on depan mudah banyak ladangfarming polychrome bagus tahan,"['bagus', 'segi', 'alur', 'cerita', 'desain', 'karakter', 'bagus', 'system', 'cari', 'polychrome', 'dibanyakin', 'player', 'free', 'play', 'karakter', 'serta', 'wengine', 'susah', 'system', 'rate', 'off', 'rate', 'on', 'depan', 'mudah', 'banyak', 'ladangfarming', 'polychrome', 'bagus', 'tahan']","[5, -4, -4, -4, 4, 0, 5, 0, -3, 0, 0, 0, 3, 0, 0, 2, 0, -3, 0, -2, 0, -2, 0, 0, -1, -3, 0, 0, 5, -2]",-4,Negative
Please fix pixelated graphic bug,please fix pixelated graphic bug,"['please', 'fix', 'pixelated', 'graphic', 'bug']","[-3, 0, 0, 1, -5]",-7,Negative
Keep your good work,keep your good work,"['keep', 'your', 'good', 'work']","[0, 0, 5, 0]",5,Positive
great game,great,['great'],[3],3,Positive
